picture.no,hue,sat,bright,SDhue,SDsat,SDbright,ED,PE
5073,0.319700985,0.234466022,0.554171619,2.059272569,0.187280104,0.222765166,0.084220493,7.525331814
5134,1.87901383,0.434718264,0.583366599,1.060244613,0.393010474,0.274400403,0.108719567,7.39245323
5135,1.82276982,0.40764431,0.577154322,0.981146063,0.211514506,0.27112584,0.13618724,7.749480744
5137,0.885434217,0.429588986,0.633599738,1.526059701,0.292600898,0.287773203,0.119674117,7.593836846
5165,-1.212810504,0.116052363,0.682814226,1.534330652,0.113688861,0.236866008,0.0746789,7.082634057
5166,1.407863541,0.111643099,0.649430779,1.566057404,0.121506352,0.220806925,0.072750087,7.363916888
5240,1.108688248,0.216810813,0.449400346,1.129611946,0.174579496,0.178581082,0.140441081,7.50831431
5245,1.671400399,0.335608594,0.513355194,1.075545496,0.196194921,0.232275632,0.137968229,7.719603207
5277,-2.641629097,0.374631301,0.608596857,0.629030224,0.252633244,0.341043535,0.052711458,7.650321561
5279,-2.535444804,0.583012428,0.491564615,1.395518087,0.358534418,0.223647557,0.116190338,7.198931229
5360,-0.556314462,0.15238127,0.375282595,1.479236623,0.101994655,0.291107988,0.065090386,7.14616033
5371,1.568911225,0.085148975,0.59607421,2.046783974,0.104176225,0.230663191,0.091988806,7.683712136
5380,1.605123564,0.278281431,0.55504384,0.680328731,0.175940823,0.208303221,0.15771389,7.686666192
5445,2.937195231,0.379011206,0.642087972,1.254522201,0.164318755,0.278062253,0.089983548,7.402255232
5449,1.12728696,0.265480813,0.583533993,1.263815619,0.263393539,0.288052794,0.087881366,6.116744455
5451,1.724577396,0.324298918,0.563688197,1.99631747,0.186948236,0.198235288,0.086550941,7.159358561
5457,1.515533677,0.404949751,0.575547804,1.342476365,0.219643857,0.251480862,0.134539795,7.735358205
5541,1.470099097,0.458227008,0.439562571,0.832556569,0.245894147,0.240072838,0.135091667,7.492766876
5546,1.481407972,0.305590759,0.49340662,1.124117391,0.184729525,0.196646535,0.161164844,7.59592419
5550,1.571540188,0.583349382,0.510362064,1.059548094,0.254151831,0.278534705,0.143039193,7.879953971
