"","picture.ID","naturalness","fascination","coherence","scope","being_away"
"95",2791,3.84615384615385,5.38461538461539,5.61538461538461,5.61538461538461,4.46153846153846
"96",2793,2.46153846153846,4.53846153846154,5.53846153846154,3.8,4.5
"97",2928,3.14285714285714,5,5.33333333333333,4.5,4.66666666666667
"98",2931,5.38461538461539,4.92307692307692,5.30769230769231,5.35714285714286,6.25
"99",2934,3.38461538461538,5.15384615384615,5.30769230769231,4.15384615384615,5.53846153846154
"100",2944,6.61538461538461,4,4.46153846153846,6.2,4.75
"101",2948,5.85714285714286,3.375,3.5,5.5,4.55555555555556
"102",2957,6.53846153846154,4.23076923076923,3.53846153846154,6.30769230769231,4.23076923076923
"103",2960,6,3.08333333333333,3.41666666666667,5.25,4.83333333333333
"104",3026,2.28571428571429,4.25,4,4.6,3.77777777777778
"105",3032,2.69230769230769,3.53846153846154,4.61538461538461,4,2.5
"106",3198,3.33333333333333,3.41666666666667,4.58333333333333,3.75,3.83333333333333
"107",3234,2.84615384615385,4.84615384615385,4.76923076923077,4,4
"108",3237,3.58333333333333,3.75,4.25,4.41666666666667,4.16666666666667
"109",3238,3,5,5.41666666666667,3.90909090909091,4.91666666666667
"110",3242,3,6.07692307692308,6.23076923076923,6,4
"111",3248,3.14285714285714,5.625,5.16666666666667,5.6,4.66666666666667
"112",3255,2.15384615384615,4.61538461538461,4.30769230769231,5.53333333333333,3
"113",3309,6.14285714285714,6,3.66666666666667,5.2,5.88888888888889
"114",3348,4.25,5.58333333333333,5.66666666666667,4.08333333333333,5
"115",3354,2.75,4.72727272727273,5.83333333333333,3.91666666666667,3.75
"116",3359,3.41666666666667,4.63636363636364,4.83333333333333,4.25,3.66666666666667
"117",3663,5.42857142857143,4.375,4,4.7,4.88888888888889
"118",3667,5.30769230769231,3.84615384615385,5.33333333333333,4.53333333333333,4
"119",3676,5.38461538461539,3.15384615384615,4.76923076923077,5.69230769230769,4.15384615384615
"120",3677,5.83333333333333,3.90909090909091,4.75,5.83333333333333,5
"121",3678,4.83333333333333,3.83333333333333,3.91666666666667,5.08333333333333,4.75
"122",3679,5.83333333333333,4.41666666666667,5.66666666666667,5.5,4.5
"123",3685,5.08333333333333,4.25,3.91666666666667,5.25,4
"124",3698,5.61538461538461,4.61538461538461,4.38461538461539,5.92307692307692,5.30769230769231
"125",3722,4.66666666666667,3.75,4.75,4.75,3.91666666666667
"126",3734,4.76923076923077,5.69230769230769,4.23076923076923,4.33333333333333,5.41666666666667
"127",3744,4.71428571428571,5.125,4.83333333333333,4,5.55555555555556
"128",3756,5.16666666666667,4.91666666666667,5.08333333333333,5,5.25
"129",3764,3.76923076923077,5.61538461538461,5.84615384615385,5.07692307692308,4
"130",3807,2.83333333333333,4.83333333333333,5.5,3.58333333333333,3.91666666666667
"131",3814,4.69230769230769,4.23076923076923,5.30769230769231,5.15384615384615,4.15384615384615
"132",3822,3.42857142857143,4.25,5.5,4.4,4.44444444444444
"133",3824,5.23076923076923,3.84615384615385,5.46153846153846,4.46666666666667,4.91666666666667
"134",3834,4.38461538461539,4.69230769230769,5,4.61538461538461,5.07692307692308
"135",3837,3,4,5,3.16666666666667,3.75
"136",3891,6.61538461538461,3.84615384615385,3.07692307692308,6.23076923076923,4.23076923076923
"137",3910,2.53846153846154,3.84615384615385,5.38461538461539,4.4,2.91666666666667
"138",3920,2.23076923076923,4.69230769230769,5.30769230769231,4.84615384615385,2.53846153846154
"139",4004,5.66666666666667,5.16666666666667,4.25,5.5,5.33333333333333
"140",4008,4.25,5.08333333333333,4.83333333333333,5.58333333333333,4.83333333333333
"141",4016,3.25,4.08333333333333,4.83333333333333,3.72727272727273,3.08333333333333
"142",4123,6,3.57142857142857,3,4.7,3.11111111111111
"143",4130,6.76923076923077,3.92307692307692,5.15384615384615,5.93333333333333,4.08333333333333
"144",4144,6.46153846153846,3.53846153846154,3.46153846153846,5.6,4.08333333333333
"145",4153,5.83333333333333,3.66666666666667,4.08333333333333,5.5,4.25
"146",4158,6.61538461538461,5.61538461538461,3.76923076923077,6.46153846153846,5.23076923076923
"147",4162,5.41666666666667,4.75,5.16666666666667,6.33333333333333,5.25
"148",4173,5.75,4.58333333333333,4.09090909090909,5.16666666666667,4.58333333333333
"149",4175,5.07692307692308,3.84615384615385,4.46153846153846,5.46153846153846,4.53846153846154
"150",4178,4.25,3.63636363636364,4.54545454545455,4.63636363636364,3.66666666666667
"151",4219,3.16666666666667,5.41666666666667,5.33333333333333,3.41666666666667,4.75
"152",4322,5.66666666666667,3.75,4.16666666666667,5.5,4.41666666666667
"153",4323,5.92307692307692,4.46153846153846,4.23076923076923,5.84615384615385,4.84615384615385
"154",4366,5.38461538461539,3.84615384615385,5.15384615384615,3.8,5.33333333333333
"155",4372,4.69230769230769,4.38461538461539,4.23076923076923,5.15384615384615,5.30769230769231
"156",4375,4.28571428571429,4.5,5,4.1,5.11111111111111
"157",4383,5.61538461538461,5.76923076923077,3.92307692307692,5.30769230769231,5.53846153846154
"158",4397,6,3.91666666666667,3.18181818181818,5.33333333333333,5.58333333333333
"159",4398,6.25,5.08333333333333,4.25,5.75,5.5
"160",4482,4.08333333333333,5.33333333333333,6.25,5.91666666666667,4.16666666666667
"161",4495,3,4.75,5.16666666666667,3.75,3.58333333333333
"162",4502,1.92307692307692,3,3.69230769230769,3.26666666666667,2.16666666666667
"163",4504,5.23076923076923,3.84615384615385,5.15384615384615,5.69230769230769,4.07692307692308
"164",4506,3.66666666666667,3.83333333333333,4,4.41666666666667,3.66666666666667
"165",4518,2.83333333333333,3.5,3.75,3.33333333333333,2.66666666666667
"166",4523,2.14285714285714,4,4.5,4.2,3.44444444444444
"167",4541,3,3.46153846153846,5.38461538461539,3,2.76923076923077
"168",4561,4.42857142857143,4.75,4.33333333333333,5.11111111111111,3.88888888888889
"169",4569,5.61538461538461,3.30769230769231,5.38461538461539,6.13333333333333,4.33333333333333
"170",4577,4.30769230769231,3.07692307692308,6.23076923076923,4.46153846153846,4.07692307692308
"171",4578,4,3.75,5.58333333333333,4.25,4.75
"172",4605,2.66666666666667,4.91666666666667,5.33333333333333,3.33333333333333,2.91666666666667
"173",4608,1.69230769230769,4.23076923076923,4.76923076923077,2.61538461538462,2.69230769230769
"174",4642,4.71428571428571,3,3.5,4.3,3.33333333333333
"175",4650,3.38461538461538,3.92307692307692,2.76923076923077,3.66666666666667,2
"176",4687,2.23076923076923,3.07692307692308,5.84615384615385,3.30769230769231,1.84615384615385
"177",4804,2.42857142857143,4.875,4.66666666666667,4,3.77777777777778
"178",4813,2.23076923076923,3.30769230769231,4.92307692307692,3.46666666666667,2.83333333333333
